,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
178,Beehunter,Guard,Brawler,Fighter,4,2435,513,312,2615,513,312,2435,573,312,2615,573,312,0,9,7,1,70,66,0.78, 1,Physical
179,Shaw,Specialist,Pusher,Push Stroker,4,1785,580,365,1925,580,365,1985,615,365,2125,615,365,0,19,17,2,70,60,1.2, Multi (Block #),Physical
180,Earthspirit,Supporter,Slower,Decel Binder,4,1205,480,101,1205,501,101,1205,530,101,1205,551,101,20,14,12,1,70,66,1.9, 1,Arts
181,Deepcolor,Supporter,Summoner,N/A,4,1050,403,125,1050,403,125,1350,403,125,1350,403,125,15,10,8,1,70,60,1.6, 1,Arts
182,Gummy,Defender,Healing,Guardian,4,2550,435,562,2550,456,562,2950,435,562,2950,456,562,10,20,18,3,70,66,1.2, 1,Physical
183,Cuora,Defender,Normal,Protector,4,3105,365,690,3105,365,717,3105,365,765,3105,365,792,0,21,19,3,70,60,1.2, 1 ,Physical
184,Matterhorn,Defender,Normal,Protector,4,3235,375,670,3485,375,670,3620,375,670,3870,375,670,5,21,19,3,70,60,1.2, 1,Physical
185,Perfumer,Medic,AoE,Multi-target Medic,4,1560,320,145,1560,339,145,1710,345,145,1710,364,145,0,16,14,1,70,66,2.85, 3,Healing
186,Gavial,Medic,ST,Medic,4,1580,450,152,1580,473,152,1580,480,182,1580,503,182,0,18,16,1,70,66,2.85, 1,Healing
187,Myrrh,Medic,ST,Medic,4,1420,465,131,1420,488,131,1420,525,131,1420,548,131,0,18,16,1,70,66,2.85, 1,Healing
188,Rope,Specialist,Puller,Hookmaster,4,1720,728,325,1720,728,347,1720,728,385,1720,728,407,0,12,10,2,70,66,1.8, 1,Physical
189,Gravel,Specialist,Fast-Redeploy,Executor,4,1420,452,335,1580,452,335,1720,452,335,1880,452,335,0,8,6,1,18,16,0.93, 1,Physical
190,Mousse,Guard,Arts Fighter,N/A,4,2345,644,357,2345,670,357,2345,679,392,2345,705,392,15,20,18,1,70,66,1.25, 1,Arts
191,Estelle,Guard,AoE,Centurion,4,2500,690,315,2700,690,315,2850,690,315,3050,690,315,0,22,20,3,70,66,1.2, Multi (Block #),Physical
192,Frostleaf,Guard,Ranged,Lord,4,2260,660,323,2260,660,323,2260,660,378,2260,660,378,10,18,16,2,70,60,1.3, 1,Physical
193,Matoimaru,Guard,Duelist,Dreadnought,4,3640,916,156,3820,916,156,4090,916,156,4270,916,156,0,17,15,1,70,66,1.5, 1,Physical
194,Dobermann,Guard,Support,Instructor,4,2024,602,382,2174,602,382,2024,632,412,2174,632,412,0,15,13,2,70,66,1.05, 1,Physical
195,Vigna,Vanguard,DP-On-Kill,Charger,4,1845,558,351,1845,582,351,1845,618,351,1845,642,351,0,11,9,1,70,66,1, 1,Physical
196,Scavenger,Vanguard,Skill-DP,Pioneer,4,1835,470,310,1835,495,310,1835,530,310,1835,555,310,0,12,10,2,70,66,1.05, 1,Physical
197,Courier,Vanguard,Skill-DP,Pioneer,4,1985,435,322,1985,435,345,1985,435,382,1985,435,405,0,12,10,2,70,66,1.05, 1,Physical
198,Shirayuki,Sniper,AoE,Artilleryman,4,1630,797,100,1630,827,100,1630,867,100,1630,897,100,0,27,25,1,70,60,2.8, AoE,Physical
199,Meteor,Sniper,Anti-Air,Marksman,4,1370,465,165,1370,488,165,1370,530,165,1370,553,165,0,12,10,1,70,66,1, 1,Physical
200,Jessica,Sniper,Anti-Air,Marksman,4,1320,475,154,1320,498,154,1320,540,154,1320,563,154,0,12,10,1,70,60,1, 1,Physical
201,Gitano,Caster,AoE,Splash Caster,4,1598,715,118,1598,742,118,1598,785,118,1598,812,118,20,32,30,1,70,66,2.9, AoE,Arts
202,Haze,Caster,ST,Core Caster,4,1420,583,110,1520,583,110,1420,643,110,1520,643,110,20,19,17,1,70,66,1.6, 1,Arts
203,Reserve Operator - Caster,Caster,ST,Core Caster,3,1050,456,84,1050,456,84,1050,456,84,1050,456,84,15,17,17,1,70,70,1.6, 1,Arts
204,Reserve Operator - Logistics,Medic,ST,Medic,3,1080,338,102,1080,338,102,1080,338,102,1080,338,102,0,16,16,1,70,70,2.85, 1,Healing
205,Reserve Operator - Sniper,Sniper,Anti-Air,Marksman,3,980,401,115,980,401,115,980,401,115,980,401,115,0,10,10,1,70,70,1, 1,Physical
206,Reserve Operator - Melee,Vanguard,Skill-DP,Pioneer,3,1165,309,278,1165,309,278,1165,309,278,1165,309,278,0,10,10,2,70,70,1.05, 1,Physical
207,Spot,Defender,Healing,Guardian,3,1833,320,442,1833,320,466,1833,350,472,1833,350,496,10,17,15,3,70,66,1.2, 1,Physical
208,Popukar,Guard,AoE,Centurion,3,1858,495,245,1858,518,245,1858,545,245,1858,568,245,0,19,17,2,70,66,1.2, Multi (Block #),Physical
209,Midnight,Guard,Ranged,Lord,3,1653,497,282,1653,519,282,1653,547,282,1653,569,282,10,16,14,2,70,66,1.3, 1,Physical
210,Catapult,Sniper,AoE,Artilleryman,3,1150,617,85,1150,644,85,1150,672,85,1150,699,85,0,23,21,1,70,60,2.8, AoE,Physical
211,Orchid,Supporter,Slower,Decel Binder,3,935,378,83,935,397,83,935,418,83,935,437,83,15,12,10,1,70,60,1.9, 1,Arts
212,Steward,Caster,ST,Core Caster,3,1100,470,90,1100,493,90,1100,520,90,1100,543,90,15,18,16,1,70,60,1.6, 1,Arts
213,Ansel,Medic,ST,Medic,3,1135,362,109,1135,382,109,1135,407,109,1135,427,109,0,17,15,1,70,66,2.85, 1,Healing
214,Hibiscus,Medic,ST,Medic,3,1220,345,110,1220,363,110,1220,390,110,1220,408,110,0,17,15,1,70,60,2.85, 1,Healing
215,Lava,Caster,AoE,Splash Caster,3,1141,582,95,1141,582,95,1141,642,95,1141,642,95,15,30,28,1,70,66,2.9, AoE,Arts
216,Adnachiel,Sniper,Anti-Air,Marksman,3,1080,365,134,1080,388,134,1080,415,134,1080,438,134,0,11,9,1,70,60,1, 1,Physical
217,Kroos,Sniper,Anti-Air,Marksman,3,1060,375,126,1060,396,126,1060,425,126,1060,446,126,0,11,9,1,70,66,1, 1,Physical
218,Beagle,Defender,Normal,Protector,3,2035,295,490,2035,295,518,2035,295,550,2035,295,578,0,18,16,3,70,60,1.2, 1,Physical
219,Cardigan,Defender,Normal,Protector,3,2130,305,475,2330,305,475,2430,305,475,2630,305,475,0,18,16,3,70,60,1.2, 1,Physical
220,Melantha,Guard,Duelist,Dreadnought,3,2745,738,155,2745,763,155,2745,803,155,2745,828,155,0,15,13,1,70,60,1.5, 1,Physical
221,Plume,Vanguard,DP-On-Kill,Charger,3,1226,445,279,1226,466,279,1226,495,279,1226,516,279,0,10,8,1,70,60,1, 1,Physical
222,Vanilla,Vanguard,Skill-DP,Pioneer,3,1270,355,240,1270,375,240,1270,405,240,1270,425,240,0,11,9,2,70,60,1.05, 1 ,Physical
223,Fang,Vanguard,Skill-DP,Pioneer,3,1325,325,260,1325,325,280,1325,325,310,1325,325,330,0,11,9,2,70,60,1.05, 1,Physical
224,12F,Caster,AoE,Splash Caster,2,1461,432,50,1461,456,50,1461,482,50,1461,506,50,10,24,22,1,70,65,2.9, AoE,Arts
225,Durin,Caster,ST,Core Caster,2,952,340,62,1052,340,62,952,370,62,1052,370,62,10,12,10,1,70,65,1.6, 1,Arts
226,Rangers,Sniper,Anti-Air,Marksman,2,780,269,66,780,269,66,780,299,66,780,299,66,0,7,5,1,70,65,1, 1,Physical
227,Noir Corne,Defender,Normal,Protector,2,1670,240,315,1760,240,315,1670,240,355,1760,240,355,0,14,12,3,70,65,1.2, 1,Physical
228,Yato,Vanguard,Skill-DP,Pioneer,2,1030,232,192,1030,250,192,1030,262,192,1030,280,192,0,7,5,2,70,65,1.05, 1,Physical
229,"""Justice Knight""",Sniper,Anti-Air,Marksman,1,495,172,41,495,172,41,595,217,41,595,217,41,0,3,3,1,200,200,1, 1,Physical
230,THRM-EX,Specialist,Fast-Redeploy,Executor,1,1443,260,443,1443,260,443,1443,350,443,1443,350,443,50,3,3,0,200,200,0.93, 1,Physical
231,Castle-3,Guard,Duelist,Dreadnought,1,1191,353,90,1191,353,90,1391,413,90,1391,413,90,0,3,3,1,200,200,1.5, 1,Physical
232,Lancet-2,Medic,ST,Medic,1,435,70,27,435,70,27,535,110,27,535,110,27,0,3,3,1,200,200,2.85, 1,Healing
